설치읍면동,위도,경도
강원도 원주시 부론면 정산리 1160-10,37.1750526,127.7733459
강원도 원주시 부론면 법천리 1449-1,37.2080154,127.7501907
강원도 원주시 부론면 단강리 500-6,37.1548996,127.8207855
강원도 원주시 부론면 단강리 1461,37.1470947,127.7982864
강원도 원주시 귀래면 용암리 72-91,37.1609688,127.8352737
강원도 원주시 흥업면 매지리 1141-1,37.2707596,127.9053726
강원도 원주시 흥업면 사제리 1249-2,37.331501,127.8863449
강원도 원주시 흥업면 사제리 1510,37.3373871,127.8782272
강원도 원주시 판부면 금대리 산95-12,37.2632217,128.0302582
강원도 원주시 판부면 서곡8리 1987-1,37.3218269,127.9414597
강원도 원주시 판부면 서곡리 145,37.3055382,127.9334717
강원도 원주시 신림면 성남리 535,37.2657967,128.0838013
강원도 원주시 신림면 황둔리 1538-4,37.2503471,128.1413574
강원도 원주시 중앙동 329-9,37.354454,127.9479523
강원도 원주시 중앙동 655-3,37.3604355,127.9435883
강원도 원주시 중앙동 315-2,37.3547287,127.9464798
강원도 원주시 명륜1동 205-66,37.3403664,127.9427338
강원도 원주시 원인동 18,37.3445396,127.9514313
강원도 원주시 개운동 84-23,37.342598,127.9593735
강원도 원주시 개운동 475,37.3369598,127.9616623
강원도 원주시 개운동 50-1,37.3403969,127.9615707
강원도 원주시 명륜1동 49-35,37.3439064,127.9517365
강원도 원주시 명륜1동 245-1,37.3362045,127.9492798
강원도 원주시 명륜1동 258-4,37.3392296,127.9511261
강원도 원주시 명륜2동 480,37.3315697,127.9461441
강원도 원주시 명륜2동 824-20,37.3292427,127.9431305
강원도 원주시 명륜2동 822-4,37.3292923,127.9446869
강원도 원주시 단구동 74-78,37.3235016,127.9661484
강원도 원주시 단구동 1065-11,37.3327713,127.9544449
강원도 원주시 단구동 1520-1,37.3263626,127.9482651
강원도 원주시 단구동 200-2,37.3301086,127.9607086
강원도 원주시 일산동 154-165,37.3463745,127.9438934
강원도 원주시 일산동 282-24,37.3472595,127.9415359
강원도 원주시 학성동 1222,37.3598824,127.9403992
강원도 원주시 학성동 1005-6,37.3547363,127.9422379
강원도 원주시 학성동 1260,37.3534431,127.9393158
강원도 원주시 학성동 1035-5,37.3543625,127.9430466
강원도 원주시 학성동 242-44,37.3521919,127.9429474
강원도 원주시 학성동 978-23,37.3570061,127.9381943
강원도 원주시 단계동 55-5,37.359787,127.9366455
강원도 원주시 단계동 128-44,37.3553886,127.9345398
강원도 원주시 우산동 280,37.3708916,127.9340591
강원도 원주시 우산동 821,37.3720093,127.9397354
강원도 원주시 우산동 154-1,37.3621254,127.938652
강원도 원주시 태장1동 689-2,37.3607483,127.9559097
강원도 원주시 태장1동 1329-45,37.3574028,127.9577942
강원도 원주시 태장2동 1371,37.3855972,127.9513931
강원도 원주시 태장2동 2712,37.3839493,127.9557037
강원도 원주시 태장2동 260-3,37.396431,127.9386902
강원도 원주시 봉산동 1017-3,37.3523293,127.9560394
강원도 원주시 봉산동 966-2,37.3473778,127.965332
강원도 원주시 봉산동 1050-39,37.3510742,127.9556808
강원도 원주시 행구동 1048-10,37.3434868,127.9981842
강원도 원주시 행구동 1035,37.3434868,128.0017395
강원도 원주시 무실동 1641-6,37.3367653,127.9271927
강원도 원주시 무실동 1656-8,37.3339005,127.9243164
강원도 원주시 반곡관설동 1720-11,37.3165245,127.9630127
강원도 원주시 반곡관설동 1705-1,37.3178139,127.9639282
강원도 원주시 반곡관설동 598-2,37.3068237,127.9823608
강원도 원주시 반곡관설동 829-28,37.3017845,127.9795303
강원도 원주시 귀래면 귀래리 254-13,37.2232132,127.8944016
강원도 원주시 신림면 신림리 948,37.2455254,128.0876007
강원도 원주시 학성동 1072-7,37.3557472,127.9378357
강원도 원주시 태장1동 812-10,37.3610497,127.9519653
강원도 원주시 무실동 1891-1,37.327137,127.9290085
강원도 원주시 무실동 1841,37.3317719,127.9300766
강원도 원주시 무실동 1846-2,37.3325348,127.9289551
강원도 원주시 무실동 1789,37.3358078,127.9329224
강원도 원주시 행구동 1054-1,37.3435822,127.9957886
강원도 원주시 행구동 1054-1,37.3423462,127.9962082
강원도 원주시 행구동 1054-1,37.3420677,127.9970703
